nDemes	nIndMaxPerDeme	Ntot	ntrlMuteRate	nQuantiLoci	selfingRate	fecundity	migRate	extRate	colonizationModel	recolonization	atGeneration	sexSystem	sexAvantage	seed	meanFemAlloc	sdFemAlloc	meanFemAllocCosexual	sdFemAllocCosexual	cosexualProportion	expFST_Nmax	expFST_Nobs	expFST_Rousset_Nmax
1000	100	100000	1e-05	1	0.000000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16001	0.501169	0.164371	0.501169	0.164371	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.100000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16002	0.551969	0.162718	0.551969	0.162718	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.200000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16003	0.599113	0.161848	0.599113	0.161848	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.300000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16004	0.649572	0.153290	0.649572	0.153290	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.400000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16005	0.699644	0.147529	0.699644	0.147529	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.500000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16006	0.751089	0.134296	0.751089	0.134296	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.600000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16007	0.800626	0.109294	0.800626	0.109294	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.700000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16008	0.850107	0.086085	0.850107	0.086085	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.800000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16009	0.898718	0.060812	0.898718	0.060812	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.900000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16010	0.947655	0.031749	0.947655	0.031749	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	1.000000	5000	0.000000	0.000000	propagulePool	1	3000	0	1.000000	16011	0.977811	0.019130	0.977811	0.019130	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.000000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16012	0.985599	0.016961	0.985599	0.016961	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.100000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16013	0.987303	0.020591	0.987303	0.020591	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.200000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16014	0.982822	0.021343	0.982822	0.021343	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.300000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16015	0.984612	0.018319	0.984612	0.018319	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.400000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16016	0.982668	0.025717	0.982668	0.025717	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.500000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16017	0.985373	0.018844	0.985373	0.018844	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.600000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16018	0.987987	0.017721	0.987987	0.017721	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.700000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16019	0.993377	0.006727	0.993377	0.006727	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.800000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16020	0.988305	0.014973	0.988305	0.014973	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.900000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16021	0.995884	0.004387	0.995884	0.004387	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	1.000000	5000	0.000000	0.100000	propagulePool	1	3000	0	1.000000	16022	0.999263	0.000626	0.999263	0.000626	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.000000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16023	0.988299	0.015717	0.988299	0.015717	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.100000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16024	0.989591	0.003691	0.989591	0.003691	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.200000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16025	0.978971	0.003435	0.978971	0.003435	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.300000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16026	0.995101	0.016380	0.995101	0.016380	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.400000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16027	0.979787	0.000090	0.979787	0.000090	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.500000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16028	0.986640	0.000349	0.986640	0.000349	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.600000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16029	0.999320	0.003853	0.999320	0.003853	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.700000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16030	0.993663	0.000172	0.993663	0.000172	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.800000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16031	0.986181	0.000165	0.986181	0.000165	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.900000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16032	0.998235	0.000785	0.998235	0.000785	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	1.000000	5000	0.000000	0.300000	propagulePool	1	3000	0	1.000000	16033	0.997850	0.000119	0.997850	0.000119	1.000000	1.000000	1.000000	1.000000
1000	100	100000	1e-05	1	0.000000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16034	0.499561	0.041116	0.499561	0.041116	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.100000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16035	0.551082	0.033266	0.551082	0.033266	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.200000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16036	0.605463	0.035611	0.605463	0.035611	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.300000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16037	0.654413	0.030183	0.654413	0.030183	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.400000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16038	0.701568	0.030925	0.701568	0.030925	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.500000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16039	0.749389	0.022352	0.749389	0.022352	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.600000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16040	0.798785	0.022506	0.798785	0.022506	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.700000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16041	0.852081	0.018646	0.852081	0.018646	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.800000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16042	0.899698	0.014898	0.899698	0.014898	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	0.900000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16043	0.950481	0.010260	0.950481	0.010260	1.000000	0.713979	0.713979	0.713979
1000	100	100000	1e-05	1	1.000000	5000	0.100000	0.000000	propagulePool	1	3000	0	1.000000	16044	0.997875	0.001913	0.997875	0.001913	1.000000	0.713979	0.713979	0.713979
