nDemes	nIndMaxPerDeme	Ntot	nQuantiLoci	selfingRate	fecundity	migRate	extRate	pollenDispersal	colonizationModel	recolonization	atGeneration	sexSystem	sexAvantage	seed	meanFemAlloc	sdFemAlloc	meanFemAllocCosexual	sdFemAllocCosexual	cosexualProportion	obs_nc	obs_Hs	obs_Htot	obs_Ho	obsFST_var	obsFST_coal	obsGST_p	obsJostD	obsFIS	expFST_Nmax	expFST_Nobs	expFST_Rousset_Nmax
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	0	0	2.000000	123	0.507406	0.201261	0.507406	0.201261	1.000000	10.009909	0.049440	0.049949	0.047272	0.010102	0.010209	0.911610	0.910698	0.043726	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	10	0	2.000000	123	0.557041	0.212894	0.557041	0.212894	1.000000	10.002152	0.030824	0.049911	0.029469	0.385044	0.385077	0.997747	0.996336	0.044213	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	20	0	2.000000	123	0.579543	0.198151	0.579543	0.198151	1.000000	10.549429	0.021846	0.049846	0.020914	0.567365	0.565897	0.997997	0.995385	0.045223	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	30	0	2.000000	123	0.596652	0.190818	0.596652	0.190818	1.000000	13.138765	0.018527	0.049796	0.017738	0.633817	0.629288	0.997920	0.994389	0.044969	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	40	0	2.000000	123	0.609748	0.183798	0.609748	0.183798	1.000000	16.790538	0.015948	0.049700	0.015257	0.672624	0.668954	0.997460	0.992322	0.046139	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	50	0	2.000000	123	0.623231	0.164326	0.623231	0.164326	1.000000	21.810864	0.015123	0.049620	0.014401	0.691383	0.688124	0.997014	0.990415	0.046996	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	60	0	2.000000	123	0.628711	0.159565	0.628711	0.159565	1.000000	27.297825	0.014423	0.049546	0.013722	0.702629	0.703562	0.996685	0.988813	0.046334	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	70	0	2.000000	123	0.640830	0.157862	0.640830	0.157862	1.000000	33.514111	0.014217	0.049433	0.013487	0.704831	0.705036	0.995800	0.985761	0.046486	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	80	0	2.000000	123	0.648280	0.153160	0.648280	0.153160	1.000000	40.130132	0.013895	0.049360	0.013278	0.707430	0.709301	0.995253	0.983677	0.046300	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	90	0	2.000000	123	0.644006	0.150267	0.644006	0.150267	1.000000	42.703995	0.014413	0.049323	0.013748	0.707925	0.711916	0.994748	0.981779	0.046648	0.753205	0.753205	0.743001
