nDemes	nIndMaxPerDeme	Ntot	nQuantiLoci	selfingRate	fecundity	migRate	extRate	pollenDispersal	colonizationModel	recolonization	atGeneration	sexSystem	sexAvantage	seed	meanFemAlloc	sdFemAlloc	meanFemAllocCosexual	sdFemAllocCosexual	cosexualProportion	obs_nc	obs_Hs	obs_Htot	obs_Ho	obsFST_var	obsFST_coal	obsGST_p	obsJostD	obsFIS	expFST_Nmax	expFST_Nobs	expFST_Rousset_Nmax
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	100	0	2.000000	123	0.650333	0.141507	0.650333	0.141507	1.000000	47.166145	0.014448	0.049289	0.013754	0.708702	0.709864	0.994231	0.980120	0.048522	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	110	0	2.000000	123	0.651109	0.138873	0.651109	0.138873	1.000000	51.967438	0.013444	0.049109	0.012763	0.724851	0.723933	0.993948	0.978077	0.046913	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	120	0	2.000000	123	0.659363	0.126198	0.659363	0.126198	1.000000	51.822565	0.013174	0.048972	0.012515	0.724047	0.722096	0.993143	0.975324	0.045532	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	130	0	2.000000	123	0.659286	0.125802	0.659286	0.125802	1.000000	58.242148	0.013112	0.048923	0.012468	0.721898	0.726132	0.992618	0.973032	0.047184	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	140	0	2.000000	123	0.664591	0.116649	0.664591	0.116649	1.000000	59.227057	0.012656	0.048862	0.012001	0.727232	0.730816	0.992380	0.971680	0.047836	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	150	0	2.000000	123	0.663557	0.113114	0.663557	0.113114	1.000000	62.061313	0.013795	0.048718	0.013107	0.727069	0.726656	0.991537	0.969044	0.047250	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	160	0	2.000000	123	0.666304	0.113891	0.666304	0.113891	1.000000	63.698548	0.013731	0.048729	0.013132	0.722697	0.724905	0.991099	0.967667	0.045368	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	170	0	2.000000	123	0.672871	0.109865	0.672871	0.109865	1.000000	66.559828	0.012899	0.048589	0.012293	0.728753	0.729538	0.990560	0.965108	0.046096	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	180	0	2.000000	123	0.668081	0.104573	0.668081	0.104573	1.000000	73.516838	0.013037	0.048521	0.012448	0.735572	0.731016	0.989981	0.962739	0.047599	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	190	0	2.000000	123	0.666369	0.100645	0.666369	0.100645	1.000000	74.704423	0.012728	0.048558	0.012089	0.743402	0.741319	0.990113	0.961802	0.045916	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	200	0	2.000000	123	0.672933	0.095123	0.672933	0.095123	1.000000	75.749232	0.013320	0.048480	0.012672	0.740545	0.737984	0.989489	0.959877	0.046917	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	210	0	2.000000	123	0.672864	0.096337	0.672864	0.096337	1.000000	79.397448	0.012724	0.048432	0.012128	0.738781	0.735802	0.988979	0.958295	0.048972	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	220	0	2.000000	123	0.674063	0.089419	0.674063	0.089419	1.000000	84.615765	0.012794	0.048231	0.012187	0.738601	0.735360	0.988197	0.955407	0.047502	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	230	0	2.000000	123	0.671582	0.083021	0.671582	0.083021	1.000000	88.437693	0.012763	0.048199	0.012144	0.742088	0.735839	0.987776	0.953702	0.047809	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	240	0	2.000000	123	0.669680	0.080907	0.669680	0.080907	1.000000	85.207573	0.013030	0.048142	0.012417	0.743071	0.735941	0.986706	0.949620	0.046836	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	250	0	2.000000	123	0.666799	0.082562	0.666799	0.082562	1.000000	88.084028	0.012097	0.048006	0.011511	0.748038	0.744913	0.987320	0.950259	0.046872	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	260	0	2.000000	123	0.669754	0.080179	0.669754	0.080179	1.000000	86.334337	0.012385	0.047916	0.011816	0.744624	0.742546	0.986588	0.947867	0.047818	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	270	0	2.000000	123	0.674511	0.077546	0.674511	0.077546	1.000000	74.096264	0.012091	0.047792	0.011542	0.742120	0.745210	0.985977	0.944915	0.047069	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	280	0	2.000000	123	0.679811	0.073789	0.679811	0.073789	1.000000	83.698065	0.012478	0.047708	0.011823	0.740249	0.742822	0.985386	0.943245	0.046969	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	290	0	2.000000	123	0.683991	0.073465	0.683991	0.073465	1.000000	88.414503	0.012099	0.047744	0.011467	0.747874	0.746549	0.985189	0.941584	0.047501	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	300	0	2.000000	123	0.681794	0.074603	0.681794	0.074603	1.000000	91.409689	0.012676	0.047533	0.012135	0.737888	0.736697	0.983612	0.937770	0.045578	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	310	0	2.000000	123	0.686050	0.074199	0.686050	0.074199	1.000000	84.209773	0.012377	0.047579	0.011794	0.742421	0.744297	0.983851	0.936761	0.043306	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	320	0	2.000000	123	0.684462	0.069459	0.684462	0.069459	1.000000	102.105138	0.012696	0.047479	0.012123	0.741306	0.742881	0.983269	0.934870	0.046770	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	330	0	2.000000	123	0.684617	0.067932	0.684617	0.067932	1.000000	105.638793	0.012411	0.047009	0.011846	0.744844	0.748443	0.983086	0.932776	0.046481	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	340	0	2.000000	123	0.684446	0.068869	0.684446	0.068869	1.000000	88.690901	0.012057	0.047006	0.011477	0.741655	0.741585	0.982114	0.930861	0.046847	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	350	0	2.000000	123	0.679112	0.067975	0.679112	0.067975	1.000000	83.880076	0.011961	0.046973	0.011381	0.745617	0.745107	0.982127	0.929890	0.045985	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	360	0	2.000000	123	0.675487	0.068104	0.675487	0.068104	1.000000	82.837692	0.012047	0.046803	0.011517	0.728863	0.730100	0.980773	0.928778	0.045792	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	370	0	2.000000	123	0.678041	0.062966	0.678041	0.062966	1.000000	101.829607	0.012772	0.046842	0.012219	0.734125	0.730299	0.980524	0.927894	0.048341	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	380	0	2.000000	123	0.681997	0.063388	0.681997	0.063388	1.000000	98.110630	0.011189	0.046603	0.010748	0.748673	0.749490	0.981801	0.927349	0.045743	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	390	0	2.000000	123	0.679982	0.060731	0.679982	0.060731	1.000000	99.108197	0.011671	0.046581	0.011147	0.742516	0.746316	0.981078	0.925414	0.046367	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	400	0	2.000000	123	0.680386	0.059383	0.680386	0.059383	1.000000	102.183741	0.011402	0.046494	0.010816	0.748229	0.746906	0.980670	0.923683	0.047602	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	410	0	2.000000	123	0.679473	0.057841	0.679473	0.057841	1.000000	91.026695	0.012298	0.046424	0.011769	0.734142	0.732255	0.978823	0.920898	0.045657	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	420	0	2.000000	123	0.677140	0.059398	0.677140	0.059398	1.000000	92.486986	0.011392	0.046243	0.010861	0.741833	0.737853	0.978504	0.918064	0.047655	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	430	0	2.000000	123	0.682785	0.054635	0.682785	0.054635	1.000000	93.148803	0.011464	0.046109	0.010935	0.736292	0.737424	0.977528	0.914468	0.045797	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	440	0	2.000000	123	0.681726	0.054248	0.681726	0.054248	1.000000	101.708398	0.011505	0.046277	0.010846	0.746268	0.743860	0.978142	0.914626	0.047606	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	450	0	2.000000	123	0.682519	0.052548	0.682519	0.052548	1.000000	121.674818	0.011628	0.046236	0.011129	0.742271	0.740535	0.977376	0.912712	0.044669	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	460	0	2.000000	123	0.682076	0.052654	0.682076	0.052654	1.000000	107.456838	0.011945	0.046206	0.011424	0.740157	0.738392	0.976606	0.910492	0.045208	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	470	0	2.000000	123	0.682160	0.053449	0.682160	0.053449	1.000000	89.035445	0.012173	0.046298	0.011652	0.729080	0.732948	0.975995	0.909947	0.045382	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	480	0	2.000000	123	0.683495	0.052658	0.683495	0.052658	1.000000	104.887778	0.012474	0.046151	0.011875	0.732768	0.735518	0.975865	0.908731	0.046624	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	490	0	2.000000	123	0.682595	0.052999	0.682595	0.052999	1.000000	97.653447	0.012728	0.045897	0.012105	0.730946	0.733974	0.975034	0.906175	0.048412	0.753205	0.753205	0.743001
1000	100	100000	1	0.100000	100	1.000000	0.100000	0.001000	propagulePool	1	500	0	2.000000	123	0.685952	0.051201	0.685952	0.051201	1.000000	83.357973	0.012664	0.045847	0.012075	0.734511	0.734498	0.974726	0.904810	0.045421	0.753205	0.753205	0.743001
